ds_cargo;cd_municipio;nm_municipio;nm_regiao;nr_turno;sg_uf;nr_zona;qt_secoes_agregadas;qt_aptos_tot;qt_comparecimento;qt_votos_nom_validos;qt_votos_brancos;qt_total_vt_leg_validos;qt_total_votos_anulados;qt_votos_validos;qt_votos;qt_total_votos_nulos
Governador;19623;GADO BRAVO;NORDESTE;2;PB;49;0;7499;6184;5449;195;0;0;5449;6184;540
Governador;19631;CABACEIRAS;NORDESTE;2;PB;62;0;4860;4225;3937;66;0;0;3937;4225;222
Governador;19640;POÇO DANTAS;NORDESTE;2;PB;53;4;4051;3105;2865;69;0;0;2865;3105;171
Governador;19658;CABEDELO;NORDESTE;2;PB;57;3;50877;41028;36928;1101;0;0;36928;41028;2999
Governador;19666;JOCA CLAUDINO;NORDESTE;2;PB;53;0;2542;1977;1802;49;0;0;1802;1977;126
Governador;19674;CACHOEIRA DOS ÍNDIOS;NORDESTE;2;PB;68;0;7722;6161;5603;144;0;0;5603;6161;414
Governador;19682;TENÓRIO;NORDESTE;2;PB;56;0;2884;2385;2169;57;0;0;2169;2385;159
Governador;19690;CACIMBA DE AREIA;NORDESTE;2;PB;65;0;3941;3210;2992;50;0;0;2992;3210;168
Governador;19704;COXIXOLA;NORDESTE;2;PB;58;0;1893;1611;1476;39;0;0;1476;1611;96
Governador;19712;CACIMBA DE DENTRO;NORDESTE;2;PB;20;0;13807;10820;9837;159;0;0;9837;10820;824
Governador;19720;PARARI;NORDESTE;2;PB;58;1;2149;1786;1663;24;0;0;1663;1786;99
Governador;19739;CAIÇARA;NORDESTE;2;PB;14;0;6230;4896;4409;81;0;0;4409;4896;406
Governador;19747;PEDRO RÉGIS;NORDESTE;2;PB;60;0;5427;4117;3776;70;0;0;3776;4117;271
Governador;19755;CAJAZEIRAS;NORDESTE;2;PB;68;5;45781;37977;34513;1168;0;0;34513;37977;2296
Governador;19763;ALCANTIL;NORDESTE;2;PB;18;0;4666;4092;3653;102;0;0;3653;4092;337
Governador;19771;CALDAS BRANDÃO;NORDESTE;2;PB;75;0;5277;4393;3955;111;0;0;3955;4393;327
Governador;19780;BARRA DE SANTANA;NORDESTE;2;PB;49;0;7426;6188;5608;127;0;0;5608;6188;453
Governador;19798;CAMALAÚ;NORDESTE;2;PB;29;1;5954;5029;4774;66;0;0;4774;5029;189
Governador;19801;CATURITÉ;NORDESTE;2;PB;59;0;4941;4294;3889;86;0;0;3889;4294;319
